Subcounty,Wards,Location,Sublocation,Site_Data,amount
Mogotio,Mogotio,Lembus-Kiptoim,Ndanai,"Population (KNBS, 2019)",1337
Mogotio,Mogotio,Lembus-Kiptoim,Ndanai,"Population Density (KNBS, 2019)",110
Mogotio,Mogotio,Lembus-Kiptoim,Ndanai,"No.of Households (KNBS, 2019)",249
Mogotio,Mogotio,Lembus-Kiptoim,Ndanai,Households Density,20.4
Mogotio,Mogotio,Lembus-Kiptoim,Ndanai,Targeted Households,125
Mogotio,Mogotio,Lembus-Kiptoim,Olbat,Land size (Sq.km),9.9
Mogotio,Mogotio,Lembus-Kiptoim,Olbat,"Population (KNBS, 2019)",1193
Mogotio,Mogotio,Lembus-Kiptoim,Olbat,"Population Density (KNBS, 2019)",121
Mogotio,Mogotio,Lembus-Kiptoim,Olbat,"No.of Households (KNBS, 2019)",205
Mogotio,Mogotio,Lembus-Kiptoim,Olbat,Households Density,20.7
Mogotio,Mogotio,Lembus-Kiptoim,Olbat,Targeted Households,103
Mogotio,Mogotio,Lembus-Kiptoim,Sagasagik,Land size (Sq.km),12.7
Mogotio,Mogotio,Lembus-Kiptoim,Sagasagik,"Population (KNBS, 2019)",1216
Mogotio,Mogotio,Lembus-Kiptoim,Sagasagik,"Population Density (KNBS, 2019)",95
Mogotio,Mogotio,Lembus-Kiptoim,Sagasagik,"No.of Households (KNBS, 2019)",233
Mogotio,Mogotio,Lembus-Kiptoim,Sagasagik,Households Density,18.3
Mogotio,Mogotio,Lembus-Kiptoim,Sagasagik,Targeted Households,127
Mogotio,Mogotio,Lembus-Mogotio,Chemogoch,Land size (Sq.km),26.1
Mogotio,Mogotio,Lembus-Mogotio,Chemogoch,"Population (KNBS, 2019)",2943
Mogotio,Mogotio,Lembus-Mogotio,Chemogoch,"Population Density (KNBS, 2019)",113
Mogotio,Mogotio,Lembus-Mogotio,Chemogoch,"No.of Households (KNBS, 2019)",641
Mogotio,Mogotio,Lembus-Mogotio,Chemogoch,Households Density,24.6
Mogotio,Mogotio,Lembus-Mogotio,Chemogoch,Targeted Households,324
Mogotio,Mogotio,Lembus-Mogotio,Kipsogon,Land size (Sq.km),55.6
Mogotio,Mogotio,Lembus-Mogotio,Kipsogon,"Population (KNBS, 2019)",5343
Mogotio,Mogotio,Lembus-Mogotio,Kipsogon,"Population Density (KNBS, 2019)",96
Mogotio,Mogotio,Lembus-Mogotio,Kipsogon,"No.of Households (KNBS, 2019)",1033
Mogotio,Mogotio,Lembus-Mogotio,Kipsogon,Households Density,18.6
Mogotio,Mogotio,Lembus-Mogotio,Kipsogon,Targeted Households,521
Mogotio,Mogotio,Lembus-Mogotio,Mogotio,Land size (Sq.km),17.1
Mogotio,Mogotio,Lembus-Mogotio,Mogotio,"Population (KNBS, 2019)",9128
Mogotio,Mogotio,Lembus-Mogotio,Mogotio,"Population Density (KNBS, 2019)",535
Mogotio,Mogotio,Lembus-Mogotio,Mogotio,"No.of Households (KNBS, 2019)",2586
Mogotio,Mogotio,Lembus-Mogotio,Mogotio,Households Density,151.2
Mogotio,Mogotio,Lembus-Mogotio,Mogotio,Targeted Households,1418
Mogotio,Mogotio,Total,Total,Land size (Sq.km),146.6
Mogotio,Mogotio,Total,Total,"Population (KNBS, 2019)",22553
Mogotio,Mogotio,Total,Total,"Population Density (KNBS, 2019)",1177
Mogotio,Mogotio,Total,Total,"No.of Households (KNBS, 2019)",5194
Mogotio,Mogotio,Total,Total,Households Density,35.4
Mogotio,Mogotio,Total,Total,Targeted Households,2742
Mogotio,Emining Ward,Cheberen,Cheberen,Land size (Sq.km),60.8
Mogotio,Emining Ward,Cheberen,Cheberen,"Population (KNBS, 2019)",4018
Mogotio,Emining Ward,Cheberen,Cheberen,"Population Density (KNBS, 2019)",66
Mogotio,Emining Ward,Cheberen,Cheberen,"No.of Households (KNBS, 2019)",826
Mogotio,Emining Ward,Cheberen,Cheberen,Households Density,13.6
Mogotio,Emining Ward,Cheberen,Cheberen,Targeted Households,417
