Subcounty,Wards,Location,Sublocation,Site_Data,amount
Kitui West,Kwa mutonga,Kwamulungu,Maselele,"Population (KNBS, 2019)",1437
Kitui West,Kwa mutonga,Kwamulungu,Maselele,"Population Density (KNBS, 2019)",104
Kitui West,Kwa mutonga,Kwamulungu,Maselele,"No.of Households (KNBS, 2019)",334
Kitui West,Kwa mutonga,Kwamulungu,Maselele,Households Density,24
Kitui West,Kwa mutonga,Kathivo,Kathivo,Land size (Sq.km),7.4
Kitui West,Kwa mutonga,Kathivo,Kathivo,"Population (KNBS, 2019)",1151
Kitui West,Kwa mutonga,Kathivo,Kathivo,"Population Density (KNBS, 2019)",155
Kitui West,Kwa mutonga,Kathivo,Kathivo,"No.of Households (KNBS, 2019)",282
Kitui West,Kwa mutonga,Kathivo,Kathivo,Households Density,38.1
Kitui West,Kwa mutonga,Kathivo,Kalindilo,Land size (Sq.km),7.9
Kitui West,Kwa mutonga,Kathivo,Kalindilo,"Population (KNBS, 2019)",1142
Kitui West,Kwa mutonga,Kathivo,Kalindilo,"Population Density (KNBS, 2019)",145
Kitui West,Kwa mutonga,Kathivo,Kalindilo,"No.of Households (KNBS, 2019)",270
Kitui West,Kwa mutonga,Kathivo,Kalindilo,Households Density,34.2
Kitui West,Kwa mutonga,Kithumula,Kithumula,Land size (Sq.km),11.5
Kitui West,Kwa mutonga,Kithumula,Kithumula,"Population (KNBS, 2019)",1938
Kitui West,Kwa mutonga,Kithumula,Kithumula,"Population Density (KNBS, 2019)",168
Kitui West,Kwa mutonga,Kithumula,Kithumula,"No.of Households (KNBS, 2019)",474
Kitui West,Kwa mutonga,Kithumula,Kithumula,Households Density,41.2
Kitui West,Kwa mutonga,Kasaini,Kasaini,Land size (Sq.km),6.7
Kitui West,Kwa mutonga,Kasaini,Kasaini,"Population (KNBS, 2019)",1296
Kitui West,Kwa mutonga,Kasaini,Kasaini,"Population Density (KNBS, 2019)",193
Kitui West,Kwa mutonga,Kasaini,Kasaini,"No.of Households (KNBS, 2019)",322
Kitui West,Kwa mutonga,Kasaini,Kasaini,Households Density,48.1
Kitui West,Kwa mutonga,Mithikwani,Mithikwani,Land size (Sq.km),19.2
Kitui West,Kwa mutonga,Mithikwani,Mithikwani,"Population (KNBS, 2019)",1039
Kitui West,Kwa mutonga,Mithikwani,Mithikwani,"Population Density (KNBS, 2019)",54
Kitui West,Kwa mutonga,Mithikwani,Mithikwani,"No.of Households (KNBS, 2019)",222
Kitui West,Kwa mutonga,Mithikwani,Mithikwani,Households Density,11.6
Kitui West,Kwa mutonga,Kwa Mutonga,Mutonga,Land size (Sq.km),16
Kitui West,Kwa mutonga,Kwa Mutonga,Mutonga,"Population (KNBS, 2019)",1463
Kitui West,Kwa mutonga,Kwa Mutonga,Mutonga,"Population Density (KNBS, 2019)",91
Kitui West,Kwa mutonga,Kwa Mutonga,Mutonga,"No.of Households (KNBS, 2019)",348
Kitui West,Kwa mutonga,Kwa Mutonga,Mutonga,Households Density,21.8
Kitui West,Kwa mutonga,Kwamulungu,Kwamulungu,Land size (Sq.km),6
Kitui West,Kwa mutonga,Kwamulungu,Kwamulungu,"Population (KNBS, 2019)",838
Kitui West,Kwa mutonga,Kwamulungu,Kwamulungu,"Population Density (KNBS, 2019)",140
Kitui West,Kwa mutonga,Kwamulungu,Kwamulungu,"No.of Households (KNBS, 2019)",203
Kitui West,Kwa mutonga,Kwamulungu,Kwamulungu,Households Density,33.8
Kitui West,Kwa mutonga,Total,Total,Land size (Sq.km),104.3
Kitui West,Kwa mutonga,Total,Total,"Population (KNBS, 2019)",11648
Kitui West,Kwa mutonga,Total,Total,"Population Density (KNBS, 2019)",1136
Kitui West,Kwa mutonga,Total,Total,"No.of Households (KNBS, 2019)",2755
Kitui West,Kwa mutonga,Total,Total,Households Density,26.4
