Subcounty,Wards,Location,Sublocation,Site_Data,amount
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ilika,Ilika,"No.of Households (KNBS, 2019)",951
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ilika,Ilika,Households Density,40.8
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ndunguni,Ndunguni,Land size (Sq.km),12.3
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ndunguni,Ndunguni,"Population (KNBS, 2019)",900
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ndunguni,Ndunguni,"Population Density (KNBS, 2019)",73
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ndunguni,Ndunguni,"No.of Households (KNBS, 2019)",208
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ndunguni,Ndunguni,Households Density,16.9
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kawongoo,Kawongoo,Land size (Sq.km),33.8
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kawongoo,Kawongoo,"Population (KNBS, 2019)",2217
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kawongoo,Kawongoo,"Population Density (KNBS, 2019)",66
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kawongoo,Kawongoo,"No.of Households (KNBS, 2019)",486
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kawongoo,Kawongoo,Households Density,14.4
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kawongoo,Kathome,Land size (Sq.km),26.3
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kawongoo,Kathome,"Population (KNBS, 2019)",1537
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kawongoo,Kathome,"Population Density (KNBS, 2019)",58
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kawongoo,Kathome,"No.of Households (KNBS, 2019)",381
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kawongoo,Kathome,Households Density,14.5
Kitui Rural Sub-county,Yatta-Kwa Vonza,Nthongoni,Kathemboni,Land size (Sq.km),29.5
Kitui Rural Sub-county,Yatta-Kwa Vonza,Nthongoni,Kathemboni,"Population (KNBS, 2019)",2325
Kitui Rural Sub-county,Yatta-Kwa Vonza,Nthongoni,Kathemboni,"Population Density (KNBS, 2019)",79
Kitui Rural Sub-county,Yatta-Kwa Vonza,Nthongoni,Kathemboni,"No.of Households (KNBS, 2019)",480
Kitui Rural Sub-county,Yatta-Kwa Vonza,Nthongoni,Kathemboni,Households Density,16.3
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kwa Vonza,Tanganyika,Land size (Sq.km),44.1
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kwa Vonza,Tanganyika,"Population (KNBS, 2019)",4768
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kwa Vonza,Tanganyika,"Population Density (KNBS, 2019)",108
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kwa Vonza,Tanganyika,"No.of Households (KNBS, 2019)",1181
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kwa Vonza,Tanganyika,Households Density,26.8
Kitui Rural Sub-county,Yatta-Kwa Vonza,Total,Total,Land size (Sq.km),504.3
Kitui Rural Sub-county,Yatta-Kwa Vonza,Total,Total,"Population (KNBS, 2019)",21676
Kitui Rural Sub-county,Yatta-Kwa Vonza,Total,Total,"Population Density (KNBS, 2019)",590
Kitui Rural Sub-county,Yatta-Kwa Vonza,Total,Total,"No.of Households (KNBS, 2019)",6414
Kitui Rural Sub-county,Yatta-Kwa Vonza,Total,Total,Households Density,12.7
Kitui Rural Sub-county,Kanyangi,Kiseuni,Kithiani,Land size (Sq.km),34.3
Kitui Rural Sub-county,Kanyangi,Kiseuni,Kithiani,"Population (KNBS, 2019)",1146
Kitui Rural Sub-county,Kanyangi,Kiseuni,Kithiani,"Population Density (KNBS, 2019)",33
Kitui Rural Sub-county,Kanyangi,Kiseuni,Kithiani,"No.of Households (KNBS, 2019)",253
Kitui Rural Sub-county,Kanyangi,Kiseuni,Kithiani,Households Density,7.4
Kitui Rural Sub-county,Kanyangi,Kanyongonyo,Kanyongonyo,Land size (Sq.km),26.1
Kitui Rural Sub-county,Kanyangi,Kanyongonyo,Kanyongonyo,"Population (KNBS, 2019)",976
Kitui Rural Sub-county,Kanyangi,Kanyongonyo,Kanyongonyo,"Population Density (KNBS, 2019)",37
Kitui Rural Sub-county,Kanyangi,Kanyongonyo,Kanyongonyo,"No.of Households (KNBS, 2019)",227
Kitui Rural Sub-county,Kanyangi,Kanyongonyo,Kanyongonyo,Households Density,8.7
Kitui Rural Sub-county,Kanyangi,Mandogoi,Mandogoi,Land size (Sq.km),22.7
Kitui Rural Sub-county,Kanyangi,Mandogoi,Mandogoi,"Population (KNBS, 2019)",1428
Kitui Rural Sub-county,Kanyangi,Mandogoi,Mandogoi,"Population Density (KNBS, 2019)",63
Kitui Rural Sub-county,Kanyangi,Mandogoi,Mandogoi,"No.of Households (KNBS, 2019)",324
Kitui Rural Sub-county,Kanyangi,Mandogoi,Mandogoi,Households Density,14.3
Kitui Rural Sub-county,Kanyangi,Kalulini,Syomunyu,Land size (Sq.km),31.3
Kitui Rural Sub-county,Kanyangi,Kalulini,Syomunyu,"Population (KNBS, 2019)",2572
Kitui Rural Sub-county,Kanyangi,Kalulini,Syomunyu,"Population Density (KNBS, 2019)",82
Kitui Rural Sub-county,Kanyangi,Kalulini,Syomunyu,"No.of Households (KNBS, 2019)",591
Kitui Rural Sub-county,Kanyangi,Kalulini,Syomunyu,Households Density,18.9
Kitui Rural Sub-county,Kanyangi,Mandogoi,Masimba,Land size (Sq.km),44.7
Kitui Rural Sub-county,Kanyangi,Mandogoi,Masimba,"Population (KNBS, 2019)",2258
Kitui Rural Sub-county,Kanyangi,Mandogoi,Masimba,"Population Density (KNBS, 2019)",51
Kitui Rural Sub-county,Kanyangi,Mandogoi,Masimba,"No.of Households (KNBS, 2019)",485
Kitui Rural Sub-county,Kanyangi,Mandogoi,Masimba,Households Density,10.9
Kitui Rural Sub-county,Kanyangi,Kiseuni,Kiseuni,Land size (Sq.km),69.8
Kitui Rural Sub-county,Kanyangi,Kiseuni,Kiseuni,"Population (KNBS, 2019)",2010
Kitui Rural Sub-county,Kanyangi,Kiseuni,Kiseuni,"Population Density (KNBS, 2019)",29
Kitui Rural Sub-county,Kanyangi,Kiseuni,Kiseuni,"No.of Households (KNBS, 2019)",485
Kitui Rural Sub-county,Kanyangi,Kiseuni,Kiseuni,Households Density,6.9
Kitui Rural Sub-county,Kanyangi,Nzambia,Nzambia,Land size (Sq.km),26.2
Kitui Rural Sub-county,Kanyangi,Nzambia,Nzambia,"Population (KNBS, 2019)",1702
Kitui Rural Sub-county,Kanyangi,Nzambia,Nzambia,"Population Density (KNBS, 2019)",65
Kitui Rural Sub-county,Kanyangi,Nzambia,Nzambia,"No.of Households (KNBS, 2019)",460
Kitui Rural Sub-county,Kanyangi,Nzambia,Nzambia,Households Density,17.6
Kitui Rural Sub-county,Kanyangi,Total,Total,Land size (Sq.km),255.1
Kitui Rural Sub-county,Kanyangi,Total,Total,"Population (KNBS, 2019)",12092
Kitui Rural Sub-county,Kanyangi,Total,Total,"Population Density (KNBS, 2019)",360
Kitui Rural Sub-county,Kanyangi,Total,Total,"No.of Households (KNBS, 2019)",2825
Kitui Rural Sub-county,Kanyangi,Total,Total,Households Density,11.1
Kitui Rural Sub-county,Mbitini,Mbitini,Mbitini,Land size (Sq.km),43.2
Kitui Rural Sub-county,Mbitini,Mbitini,Mbitini,"Population (KNBS, 2019)",8525
Kitui Rural Sub-county,Mbitini,Mbitini,Mbitini,"Population Density (KNBS, 2019)",197
Kitui Rural Sub-county,Mbitini,Mbitini,Mbitini,"No.of Households (KNBS, 2019)",2054
Kitui Rural Sub-county,Mbitini,Mbitini,Mbitini,Households Density,47.5
Kitui Rural Sub-county,Mbitini,Katwala,Katwala,Land size (Sq.km),27.4
Kitui Rural Sub-county,Mbitini,Katwala,Katwala,"Population (KNBS, 2019)",4811
Kitui Rural Sub-county,Mbitini,Katwala,Katwala,"Population Density (KNBS, 2019)",176
